itemId,approvedQid,noneOfThese,createNewQuestion,unsure,reviewerNotes
screenshots/Screenshot 2026-04-07 at 17.49.24.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.45.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.47 1.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.47.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.49.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.51.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.53 1.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.54.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.55.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.56.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.49.59.png,,false,false,true,
screenshots/Screenshot 2026-04-07 at 17.50.00.png,,false,false,true,
